name,parliament_num,party,n_statements,n_times_interjected,gender
"Abbott, Tony",39,LIB,500,411,male
"Abbott, Tony",40,LIB,1258,655,male
"Abbott, Tony",41,LIB,918,519,male
"Abbott, Tony",42,LIB,354,78,male
"Abbott, Tony",43,LIB,963,225,male
"Abbott, Tony",44,LIB,2761,1771,male
"Abbott, Tony",45,LIB,19,2,male
"Adams, Dick",39,ALP,107,20,male
"Adams, Dick",40,ALP,69,30,male
"Adams, Dick",41,ALP,79,16,male
"Adams, Dick",42,ALP,70,11,male
"Adams, Dick",43,ALP,103,3,male
"Albanese, Anthony",39,ALP,220,63,male
"Albanese, Anthony",40,ALP,194,49,male
"Albanese, Anthony",41,ALP,451,146,male
"Albanese, Anthony",42,ALP,1085,418,male
"Albanese, Anthony",43,ALP,1705,389,male
"Albanese, Anthony",44,ALP,482,98,male
"Albanese, Anthony",45,ALP,237,44,male
"Albanese, Anthony",46,ALP,1068,92,male
"Albanese, Anthony",47,ALP,2412,1463,male
"Alexander, John",43,LIB,118,6,male
"Alexander, John",44,LIB,115,4,male
"Alexander, John",45,LIB,119,3,male
"Alexander, John",46,LIB,105,0,male
"Allen, Katie",46,LIB,268,19,female
"Aly, Anne",45,ALP,96,17,female
"Aly, Anne",46,ALP,129,23,female
"Aly, Anne",47,ALP,118,19,female
"Ananda-Rajah, Michelle",47,ALP,139,10,female
"Anderson, John",39,NP,915,541,male
"Anderson, John",40,NP,626,352,male
"Anderson, John",41,NP,219,72,male
"Andren, Peter",39,IND,173,24,male
"Andren, Peter",40,IND,164,40,male
"Andren, Peter",41,IND,133,18,male
"Andrew, Neil",39,LIB,1,0,male
"Andrews, Karen",43,LIB,78,5,female
"Andrews, Karen",44,LIB,105,5,female
"Andrews, Karen",45,LIB,112,14,female
"Andrews, Karen",46,LIB,220,49,female
"Andrews, Karen",47,LIB,75,11,female
"Andrews, Kevin",39,LIB,116,22,male
"Andrews, Kevin",40,LIB,358,162,male
"Andrews, Kevin",41,LIB,633,328,male
"Andrews, Kevin",42,LIB,32,7,male
"Andrews, Kevin",43,LIB,121,40,male
"Andrews, Kevin",44,LIB,230,80,male
"Andrews, Kevin",45,LIB,121,1,male
"Andrews, Kevin",46,LIB,152,11,male
"Anthony, Larry (Lawrence)",39,NP,325,140,male
"Anthony, Larry (Lawrence)",40,NP,338,164,male
"Archer, Bridget",46,LIB,137,2,female
"Archer, Bridget",47,LIB,62,1,female
"Bailey, Fran",39,LIB,133,28,female
"Bailey, Fran",40,LIB,33,1,female
"Bailey, Fran",41,LIB,106,40,female
"Bailey, Fran",42,LIB,31,2,female
"Baird, Bruce",39,LIB,245,62,male
"Baird, Bruce",40,LIB,202,35,male
"Baird, Bruce",41,LIB,194,36,male
"Baker, Mark",41,LIB,114,25,male
"Baldwin, Bob",40,LIB,179,59,male
"Baldwin, Bob",41,LIB,124,29,male
"Baldwin, Bob",42,LIB,157,44,male
"Baldwin, Bob",43,LIB,244,37,male
"Baldwin, Bob",44,LIB,138,24,male
"Bandt, Adam",43,GRN,266,35,male
"Bandt, Adam",44,GRN,251,28,male
"Bandt, Adam",45,GRN,252,57,male
"Bandt, Adam",46,GRN,316,33,male
"Bandt, Adam",47,GRN,230,41,male
"Banks, Julia",45,IND,7,0,female
"Banks, Julia",45,LIB,112,19,female
"Barresi, Phil",39,LIB,103,19,male
"Barresi, Phil",40,LIB,101,23,male
"Barresi, Phil",41,LIB,182,54,male
"Bartlett, Kerry",39,LIB,124,15,male
"Bartlett, Kerry",40,LIB,117,19,male
"Bartlett, Kerry",41,LIB,224,26,male
"Bates, Stephen",47,GRN,130,27,male
"Beazley, Kim (Jr)",39,ALP,1288,426,male
"Beazley, Kim (Jr)",40,ALP,53,3,male
"Beazley, Kim (Jr)",41,ALP,949,167,male
"Bell, Angie",46,LIB,178,12,female
"Bell, Angie",47,LIB,124,26,female
"Belyea, Jodie",47,ALP,51,6,female
"Bevis, Arch",39,ALP,224,73,male
"Bevis, Arch",40,ALP,72,22,male
"Bevis, Arch",41,ALP,129,31,male
"Bevis, Arch",42,ALP,104,11,male
"Bidgood, James",42,ALP,99,4,male
"Billson, Bruce",39,LIB,191,40,male
"Billson, Bruce",40,LIB,187,39,male
"Billson, Bruce",41,LIB,74,4,male
"Billson, Bruce",42,LIB,119,29,male
"Billson, Bruce",43,LIB,252,51,male
"Billson, Bruce",44,LIB,213,69,male
"Bird, Sharon",41,ALP,92,23,female
"Bird, Sharon",42,ALP,62,15,female
"Bird, Sharon",43,ALP,118,17,female
"Bird, Sharon",44,ALP,126,46,female
"Bird, Sharon",45,ALP,72,12,female
"Bird, Sharon",46,ALP,46,0,female
"Birrell, Sam",47,NP,130,16,male
"Bishop, Bronwyn",39,LIB,401,234,female
"Bishop, Bronwyn",40,LIB,70,27,female
"Bishop, Bronwyn",41,LIB,94,21,female
"Bishop, Bronwyn",42,LIB,89,21,female
"Bishop, Bronwyn",43,LIB,230,66,female
"Bishop, Bronwyn",44,LIB,710,82,female
"Bishop, Julie",39,LIB,164,24,female
"Bishop, Julie",40,LIB,175,39,female
"Bishop, Julie",41,LIB,316,179,female
"Bishop, Julie",42,LIB,320,110,female
"Bishop, Julie",43,LIB,417,111,female
"Bishop, Julie",44,LIB,519,186,female
"Bishop, Julie",45,LIB,128,47,female
"Bowen, Chris",41,ALP,235,77,male
"Bowen, Chris",42,ALP,386,118,male
"Bowen, Chris",43,ALP,323,124,male
"Bowen, Chris",44,ALP,521,184,male
"Bowen, Chris",45,ALP,365,101,male
"Bowen, Chris",46,ALP,146,21,male
"Bowen, Chris",47,ALP,477,274,male
"Boyce, Colin",47,NP,81,10,male
"Bradbury, David",42,ALP,132,29,male
"Bradbury, David",43,ALP,421,134,male
"Brereton, Laurie",39,ALP,89,15,male
"Brereton, Laurie",40,ALP,12,2,male
"Briggs, Jamie",42,LIB,169,71,male
"Briggs, Jamie",43,LIB,446,82,male
"Briggs, Jamie",44,LIB,260,136,male
"Broad, Andrew",44,NP,113,6,male
"Broad, Andrew",45,NP,172,35,male
"Broadbent, Russell",41,LIB,112,18,male
"Broadbent, Russell",42,LIB,47,13,male
"Broadbent, Russell",43,LIB,41,10,male
"Broadbent, Russell",44,LIB,136,21,male
"Broadbent, Russell",45,LIB,117,10,male
"Broadbent, Russell",46,LIB,78,4,male
"Broadbent, Russell",47,LIB,102,13,male
"Brodtmann, Gai",43,ALP,229,19,female
"Brodtmann, Gai",44,ALP,248,22,female
"Brodtmann, Gai",45,ALP,199,15,female
"Brough, Mal",39,LIB,221,120,male
"Brough, Mal",40,LIB,226,150,male
"Brough, Mal",41,LIB,434,161,male
"Brough, Mal",44,LIB,188,51,male
"Buchholz, Scott",43,LIB,158,42,male
"Buchholz, Scott",44,LIB,119,27,male
"Buchholz, Scott",45,LIB,136,12,male
"Buchholz, Scott",46,LIB,81,7,male
"Buchholz, Scott",47,LIB,69,9,male
"Burke, Anna",39,ALP,113,27,female
"Burke, Anna",40,ALP,92,11,female
"Burke, Anna",41,ALP,115,13,female
"Burke, Anna",42,ALP,141,9,female
"Burke, Anna",43,ALP,578,46,female
"Burke, Anna",44,ALP,86,4,female
"Burke, Tony",41,ALP,108,46,male
"Burke, Tony",42,ALP,249,132,male
"Burke, Tony",43,ALP,330,93,male
"Burke, Tony",44,ALP,454,146,male
"Burke, Tony",45,ALP,483,139,male
"Burke, Tony",46,ALP,438,57,male
"Burke, Tony",47,ALP,938,189,male
"Burnell, Matt",47,ALP,205,11,male
"Burney, Linda",45,ALP,101,34,female
"Burney, Linda",46,ALP,121,33,female
"Burney, Linda",47,ALP,158,57,female
"Burns, Josh",46,ALP,145,28,male
"Burns, Josh",47,ALP,241,18,male
"Butler, Mark",42,ALP,87,8,male
"Butler, Mark",43,ALP,84,23,male
"Butler, Mark",44,ALP,122,48,male
"Butler, Mark",45,ALP,129,37,male
"Butler, Mark",46,ALP,164,57,male
"Butler, Mark",47,ALP,331,171,male
"Butler, Terri",44,ALP,156,35,female
"Butler, Terri",45,ALP,200,28,female
"Butler, Terri",46,ALP,129,38,female
"Byrne, Anthony",39,ALP,42,9,male
"Byrne, Anthony",40,ALP,44,15,male
"Byrne, Anthony",41,ALP,76,26,male
"Byrne, Anthony",42,ALP,38,1,male
"Byrne, Anthony",43,ALP,66,2,male
"Byrne, Anthony",44,ALP,26,0,male
"Byrne, Anthony",45,ALP,24,1,male
"Byrne, Anthony",46,ALP,15,0,male
"Byrnes, Alison",47,ALP,139,5,female
"Cadman, Alan",39,LIB,178,62,male
"Cadman, Alan",40,LIB,175,52,male
"Cadman, Alan",41,LIB,125,21,male
"Caldwell, Cameron",47,LIB,43,6,male
"Cameron, Ross",39,LIB,127,32,male
"Cameron, Ross",40,LIB,174,23,male
"Campbell, Jodie",42,ALP,61,0,female
"Causley, Ian",39,NP,179,116,male
"Causley, Ian",40,NP,178,47,male
"Causley, Ian",41,NP,207,46,male
"Chalmers, Jim",44,ALP,183,38,male
"Chalmers, Jim",45,ALP,151,50,male
"Chalmers, Jim",46,ALP,230,39,male
"Chalmers, Jim",47,ALP,692,390,male
"Champion, Nick",42,ALP,93,17,male
"Champion, Nick",43,ALP,139,40,male
"Champion, Nick",44,ALP,241,115,male
"Champion, Nick",45,ALP,183,95,male
"Champion, Nick",46,ALP,11,0,male
"Chandler-Mather, Max",47,GRN,175,50,male
"Chaney, Kate",47,IND,166,10,female
"Charles, Bob",39,LIB,175,23,male
"Charles, Bob",40,LIB,91,6,male
"Charlton, Andrew",47,ALP,119,6,male
"Cheeseman, Darren",42,ALP,119,15,male
"Cheeseman, Darren",43,ALP,104,9,male
"Chester, Darren",42,NP,63,16,male
"Chester, Darren",43,NP,199,75,male
"Chester, Darren",44,NP,111,42,male
"Chester, Darren",45,NP,257,68,male
"Chester, Darren",46,NP,129,13,male
